X,Y
116922.6812,6715336.912
116921.9222,6715333.728
116921.1498,6715340.076
116926.6993,6715336.75
116927.2564,6715338.304
116929.4009,6715338.941
116924.0756,6715340.152
116924.2371,6715340.255
116922.4938,6715340.638
116922.3159,6715340.873
116922.6196,6715340.987
116929.5747,6715340.847
116932.6092,6715351.64
116924.3498,6715343.904
116926.7823,6715342.562
116928.9709,6715341.728
116928.164,6715345.99
116928.0032,6715346.118
116929.2619,6715346.525
116928.5838,6715346.998
116928.2686,6715346.931
116927.9404,6715346.862
116927.873,6715346.848
116926.5555,6715346.569
116925.6508,6715346.378
116926.8056,6715348.079
116933.6048,6715347.06
116933.3055,6715345.346
116933.7188,6715346.995
116933.6648,6715348.573
116933.8211,6715348.141
116920.3442,6715342.132
116922.3105,6715344.683
116923.9421,6715347.569
116924.6715,6715349.005
116925.1408,6715350.222
116926.9408,6715347.554
116931.5725,6715350.374
116931.3681,6715350.214
116931.3961,6715350.382
116931.5702,6715350.23
116934.1246,6715350.853
116933.9601,6715350.931
116926.9155,6715352.384
116925.9582,6715353.293
116925.9115,6715353.334
116931.5841,6715352.107
116934.4352,6715351.376
116933.4531,6715352.161
116932.3653,6715353.12
116932.2845,6715352.975
116912.4188,6715340.318
116919.3109,6715333.261
116907.6223,6715334.082
116915.2429,6715333.905
116914.078,6715341.114
116915.2645,6715341.177
116925.2353,6715341.321
116923.7602,6715341.33
116920.4303,6715341.039
116918.0712,6715345.547
116916.7994,6715350.525
116918.8495,6715349.848
116919.7677,6715349.478
116920.779,6715350.499
116920.7998,6715351.417
116920.6586,6715350.422
116914.5214,6715354.703
116913.799,6715355.158
116913.8625,6715348.113
116912.2084,6715352.789
116912.8662,6715353.645
116913.6973,6715353.511
116918.7388,6715358.599
116919.118,6715360.488
116918.0703,6715359.825
116914.6803,6715354.966
116918.6974,6715361.041
116913.199,6715358.262
116913.0855,6715358.187
116912.9535,6715357.63
116912.6824,6715358.178
116931.4422,6715353.621
116931.8809,6715354.895
116926.3651,6715355.167
116926.9156,6715354.49
116933.3933,6715357.57
116929.5812,6715358.493
116929.5382,6715358.62
116930.0251,6715358.862
116928.1156,6715358.227
116929.7639,6715358.774
116927.9931,6715358.96
116928.2649,6715359.146
116928.85,6715360.944
116928.2774,6715362.452
116931.8023,6715362.461
116930.9522,6715362.398
116928.0865,6715362.116
116928.9477,6715365.167
116928.739,6715364.941
116931.7812,6715362.602
116922.1475,6715358.645
116924.4962,6715356.911
116917.5545,6715362.535
116916.9333,6715363.021
116923.9613,6715362.734
116914.2261,6715360.093
116914.4611,6715359.91
116916.218,6715360.582
116916.2816,6715360.762
116916.3622,6715362.808
116916.227,6715362.569
116916.096,6715362.348
116919.7628,6715360.315
116917.0121,6715362.078
116917.3592,6715362.589
116919.9548,6715362.223
116916.0373,6715361.619
116916.7695,6715362.451
116913.598,6715364.8
116913.5546,6715364.721
116918.406,6715362.996
116916.7803,6715363.716
116916.2686,6715364.034
116917.5581,6715364.854
116918.724,6715365.674
116911.9845,6715365.073
116913.9867,6715365.81
116912.6194,6715366.115
116912.4375,6715366.308
116912.0977,6715366.707
116918.7991,6715365.208
116920.1298,6715366.297
116920,6715367.142
116913.9269,6715368.53
116912.731,6715366.751
116914.7905,6715367.369
116914.6908,6715368.129
116920.2754,6715367.128
116922.0444,6715368.735
116922.1883,6715368.89
116917.5649,6715367.779
116916.9331,6715368.088
116922.2735,6715369.087
116927.37,6715366.466
116926.3909,6715368.198
116923.0934,6715369.431
116922.3837,6715370.457
116922.7228,6715370.297
116920.2377,6715369.763
116919.5692,6715370.263
116912.4955,6715369.541
116914.3394,6715369.534
116913.5342,6715370.104
116918.0104,6715371.36
116918.0665,6715371.434
116903.6149,6715338.609
116903.404,6715339.882
116903.0338,6715341.535
116902.6775,6715339.428
116905.3904,6715342.54
116899.1459,6715343.125
116899.304,6715343.41
116899.4319,6715343.752
116900.1061,6715342.978
116899.9985,6715342.287
116899.9752,6715342.162
116898.4827,6715343.489
116902.5439,6715341.636
116900.6427,6715342.417
116905.0872,6715342.005
116900.2319,6715344.822
116899.2127,6715345.411
116898.8198,6715345.68
116898.5733,6715345.85
116902.2488,6715345.52
116906.1395,6715348.441
116898.307,6715343.581
116898.9308,6715344.988
116898.2754,6715345.397
116897.3806,6715345.75
116896.7711,6715345.991
116898.6112,6715345.561
116899.5173,6715346.017
116898.412,6715343.852
116896.9702,6715344.437
116898.8133,6715349.423
116897.9604,6715347.444
116897.76,6715346.879
116897.5902,6715346.379
116897.5425,6715346.236
116897.0727,6715344.772
116899.111,6715345.258
116898.5767,6715347.171
116898.3756,6715346.662
116898.5077,6715344.099
116899.0192,6715346.974
116895.5371,6715349.171
116895.8168,6715348.955
116899.7544,6715346.601
116900.716,6715347.169
116901.3785,6715350.084
116899.2787,6715348.567
116902,6715349.09
116902.0623,6715350.063
116901.1614,6715349.141
116901.7198,6715349.569
116900.8667,6715350.784
116900.2408,6715350.645
116895.5299,6715349.22
116899.1438,6715350.411
116897.0426,6715349.961
116909.019,6715333.816
116908.3566,6715334.705
116909.6418,6715336.573
116911.1469,6715338.379
116908.0686,6715339.819
116909.7547,6715341.748
116910.5316,6715346.009
116908.9402,6715342.938
116907.7502,6715344.412
116907.9607,6715344.559
116908.1927,6715344.669
116910.2371,6715348.271
116911.2249,6715349.14
116909.674,6715350.927
116908.1861,6715345.157
116908.6978,6715345.726
116908.2099,6715345.706
116907.5794,6715350.875
116909.7561,6715354.291
116909.5907,6715354.316
116911.199,6715360.225
116906.6578,6715358.001
116907.3242,6715358.583
116905.2202,6715359.943
116908.0685,6715358.745
116908.7408,6715361.472
116909.3952,6715364.441
116909.3006,6715363.936
116910.3302,6715363.79
116910.1882,6715363.565
116910.1223,6715363.461
116910.11,6715363.441
116904.7963,6715361.762
116905.4898,6715364.108
116905.2932,6715363.67
116903.5313,6715360.137
116905.4907,6715362.068
116909.579,6715370.172
116909.4144,6715369.666
116909.3255,6715369.386
116909.2544,6715369.114
116908.873,6715367.719
116908.5607,6715366.803
116908.435,6715366.467
116908.2796,6715366.029
116908.1949,6715365.733
116906.9984,6715362.319
116906.851,6715362.424
116905.4134,6715363.657
116906.4841,6715349.706
116903.7865,6715351.587
116903.1179,6715352.559
116905.7078,6715352.266
116902.7128,6715352.105
116903.2469,6715352.703
116903.0326,6715352.463
116896.0646,6715349.158
116898.6262,6715353.209
116899.2705,6715356.307
116899.1167,6715356.088
116898.8428,6715356.172
116899.1682,6715356.598
116901.1961,6715354.42
116900.6583,6715355.244
116901.9282,6715354.949
116901.6647,6715356.64
116899.6021,6715357.462
116902.7049,6715360.335
116902.8658,6715360.428
116902.9026,6715360.287
116899.0088,6715357.05
116897.6331,6715359.004
116896.9043,6715358.075
116897.2299,6715359.116
116899.1462,6715359.731
116896.6576,6715359.708
116898.956,6715361.749
116898.0676,6715360.978
116896.9694,6715360.944
116897.2118,6715360.828
116897.0165,6715360.796
116900.717,6715360.927
116902.4124,6715363.541
116897.4068,6715361.499
116897.3034,6715361.349
116897.4986,6715361.445
116905.7432,6715363.621
116906.341,6715365.123
116907.1732,6715365.301
116905.6117,6715365.96
116901.5216,6715365.732
116907.3383,6715366.174
116907.4276,6715366.099
116906.3517,6715368.481
116909.7241,6715363.677
116910.471,6715363.453
116909.8318,6715363.768
116909.9448,6715363.878
116910.0763,6715363.709
116909.9586,6715363.626
116910.3833,6715363.317
116909.8176,6715364.066
116909.6614,6715363.958
116911.0528,6715365.585
116911.262,6715365.893
116911.1404,6715365.979
116910.9559,6715365.763
116910.6052,6715366.04
116908.6718,6715366.021
116908.7991,6715365.771
116908.6812,6715365.87
116908.9667,6715365.559
116908.031,6715365.856
116908.1438,6715365.94
116908.2951,6715367.079
116907.9856,6715366.267
116907.5002,6715366.304
116909.764,6715366.895
116907.7344,6715366.972
116909.9301,6715366.862
116909.8735,6715366.803
116910.6669,6715368.174
116909.5723,6715368.9
116908.9619,6715369.311
116907.948,6715368.402
116908.1757,6715368.235
116908.2672,6715368.167
116910.7254,6715368.295
116909.6783,6715368.465
116908.8584,6715368.778
116907.3923,6715368.968
116906.0575,6715368.811
116906.9868,6715369.372
116909.3292,6715368.38
116908.9311,6715370.108
116908.6064,6715370.368
116908.4074,6715370.512
116908.5893,6715369.21
116908.28,6715369.128
116908.161,6715369.1
116907.8847,6715368.869
116908.2678,6715369.229
116909.3922,6715371.042
116909.5459,6715371.312
116908.082,6715370.092
116908.052,6715370.177
116906.9049,6715369.439
116906.7649,6715369.914
116906.4233,6715370.236
116906.9254,6715370.166
116906.6891,6715370.373
116908.4908,6715370.268
116908.155,6715370.311
116908.2512,6715370
116908.2646,6715369.96
116908.361,6715370.114
116908.6691,6715370.754
116908.6651,6715370.728
116908.6983,6715370.758
116908.5037,6715370.73
116908.3777,6715370.712
116907.6147,6715370.654
116909.861,6715370.437
116909.936,6715370.493
116909.5254,6715371.091
116909.6623,6715371.141
116907.5521,6715370.768
